ticker,start_date,end_date
MTW,2007-11-16,2009-09-01
AMT,2007-11-19,
GME,2007-12-14,2016-04-25
RRC,2007-12-21,2018-06-18
GHC,2007-12-31,2014-09-22
TSS,2008-01-02,2019-09-23
CAM,2008-01-29,2016-04-04
PM,2008-03-31,
HCP,2008-03-31,2019-11-05
ISRG,2008-06-02,
SWN,2008-06-06,2017-04-04
LO,2008-06-11,2015-06-12
MEE,2008-06-23,2011-06-02
COG,2008-06-23,2021-10-04
SNI,2008-07-01,2018-03-07
AKS,2008-07-01,2011-12-19
MA,2008-07-18,
DVA,2008-07-31,
IVZ,2008-08-21,
CF,2008-08-27,
FAST,2008-09-15,
CRM,2008-09-15,
HRS,2008-09-22,2019-06-01
PXD,2008-09-24,2024-05-08
APH,2008-09-30,
FLS,2008-10-02,2021-03-22
KDP,2008-10-07,2018-07-02
NDAQ,2008-10-22,
